"Name","Version","License"
"opentelemetry-proto","1.28.0","Apache Software License"
"opentelemetry-sdk","1.28.0","Apache Software License"
"opentelemetry-semantic-conventions","0.49b0","Apache Software License"
"opentelemetry-util-http","0.49b0","Apache Software License"
"opt_einsum","3.4.0","MIT License"
"optree","0.13.1","Apache Software License"
"orjson","3.10.11","Apache Software License; MIT License"
"packaging","24.1","Apache Software License; BSD License"
"pandas","2.2.3","BSD License"
"pathspec","0.12.1","Mozilla Public License 2.0 (MPL 2.0)"
"platformdirs","4.3.6","MIT License"
"pluggy","1.5.0","MIT License"
"prometheus_client","0.21.0","Apache Software License"
"propcache","0.2.0","Apache Software License"
"protobuf","5.28.3","3-Clause BSD License"
"py-grpc-prometheus","0.8.0","UNKNOWN"
"pycodestyle","2.11.1","MIT License"
"pydantic","2.9.2","MIT License"
"pydantic-settings","2.6.1","MIT License"
"pydantic_core","2.23.4","MIT License"
"pyflakes","3.2.0","MIT License"
"pyproject-api","1.8.0","MIT License"
"pytest","7.4.4","MIT License"
"pytest-asyncio","0.21.1","Apache Software License"
"pytest-cases","3.8.5","BSD License"
"pytest-lazy-fixture","0.6.3","MIT License"
"pytest-mock","3.12.0","MIT License"
"pytest-xdist","3.6.1","MIT License"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License"
"python-dotenv","1.0.1","BSD License"
"python-multipart","0.0.32","Apache Software License"
"python-rapidjson","1.20","MIT License"
"pytz","2024.2","MIT License"
"requests","2.32.3","Apache Software License"
"rich","13.9.4","MIT License"
"scikit-learn","1.5.2","BSD License"
"scipy","1.13.1","BSD License"
"six","1.16.0","MIT License"
"sniffio","1.3.1","Apache Software License; MIT License"
"starlette","1.6.0","UNKNOWN"
"starlette_exporter","0.23.0","Apache License 2.0"
"sympy","1.13.1","BSD License"
"tenacity","8.4.1","Apache Software License"
"tensorboard","2.18.0","Apache Software License"
"tensorboard-data-server","0.7.2","Apache Software License"
"tensorflow","2.18.1","Apache Software License"
"termcolor","2.5.0","MIT License"
"threadpoolctl","3.5.0","BSD License"
"tox","4.16.0","MIT License"
"tritonclient","2.64.0","BSD License"
"types-aiofiles","24.1.0.20250516","UNKNOWN"
"types-orjson","3.6.2","Apache Software License"
"types-protobuf","5.26.0.20240422","Apache Software License"
"types-requests","2.32.0.20250602","UNKNOWN"
"typing-inspection","0.4.2","UNKNOWN"
"typing_extensions","4.12.2","Python Software Foundation License"
"tzdata","2024.2","Apache Software License"
"urllib3","2.7.0","UNKNOWN"
"uvicorn","0.32.0","BSD License"
"uvloop","0.21.0","Apache Software License; MIT License"
"virtualenv","20.27.1","MIT License"
"wrapt","1.16.0","BSD License"
"xgboost","2.1.2","Apache Software License"
"yarl","1.17.1","Apache Software License"
"zipp","3.20.2","MIT License"
"zope.event","5.0","Zope Public License"
"zope.interface","7.1.1","Zope Public License"
